category	answer	question	air_date
BRITISH ROYALTY	He was the last male monarch who had not previously been Prince of Wales	George VI	2014-03-12
WORLD CAPITALS	At 4,000 miles, the farthest-apart capitals of bordering countries are these 2 cities, one on a peninsula	Moscow & Pyongyang	2014-03-13
ACTORS & OSCARS	He was nominated for Oscars in 5 consecutive decades; the last nod was for his 1978 role as a Nazi hunter	Sir Laurence Olivier	2014-03-14
BODIES OF WATER	More than 1/5 of all the world's people live in countries bordering this, the world's biggest bay	the Bay of Bengal	2014-03-17
BRITISH AUTHORS	The author of more than 50 books, he won 6 Hugo awards & was nominated for a 1968 Oscar	Arthur C. Clarke	2014-03-18
THE MUSIC INDUSTRY	She beat out newcomers like Bieber & Gaga to top Forbes' list of the highest-paid people in music for 2013	Madonna	2014-03-19
OTHER POLITICAL PARTIES	In 1908 this animal appropriately became the mascot of the Prohibition Party	the camel	2014-03-20
CURRENT REALITY TV	"On learning what his series would be called, the star of this reality show said, ""That sounds like a Chinese food place!\"""	Duck Dynasty	2014-03-21
HISTORICAL NICKNAMES	Nickname shared by George Armstrong Custer, Native American chief Crazy Horse & a member of a 1930s comedy act	Curly	2014-03-24
MEDICAL ETYMOLOGY	"Because of where in the body it is produced, this hormone's name comes from the Latin for ""island\"""	insulin	2014-03-25
AGRICULTURE	Prunus dulcis, this snack high in calcium & vitamin E, is native to the Mideast, but 80% of the world crop comes from California	almonds	2014-03-26
ADAPTED FROM ANTIQUITY	"It begins with a vow to an ancient god & ends with ""if I transgress it & swear falsely, may the opposite of all this be my lot\"""	the Hippocratic Oath	2014-03-27
OSCAR NOMINATIONS	"Prior to ""Silver Linings Playbook"", the last film to get Oscar nominations in all 4 acting categories was this film partly set in Russia"	Reds	2014-03-28
LITERATURE & OPERA	"An aria in this Shakespeare-based opera says, ""Di scozia a te promettono le profetesse il trono... Che tardi?\"""	Macbeth	2014-03-31
FAMOUS WOMEN	"This crusader, in 1906: ""More than 60 years of hard struggle for a little liberty, & then to die without it seems so cruel\"""	Susan B. Anthony	2014-04-01
MONARCHS	In 2005 the Kul Sharif Mosque of Tatarstan was reopened 453 years after it was destroyed by this man	Ivan the Terrible	2014-04-02
19th CENTURY POLITICS	In 1884 George Pillsbury became mayor of this city	Minneapolis	2014-04-03
20th CENTURY NOVEL QUOTES	"\""It was one of those pictures... so contrived that the eyes follow you... beneath"" the picture was this 5-word quote"	Big Brother is watching you	2014-04-04
FOOD & DRINK	The corporate website for this product says it leaves its container at .028 miles per hour	Heinz ketchup	2014-04-07
MUSIC MAKERS	"Salisbury Cathedral's dean said this man, via his 2013 album, ""is creating a huge awareness of"" an historic document"	Jay-Z	2014-04-08
AROUND THE USA	The Mayo Clinic Mile is a walking path that features 1 mile, 5K & 10K routes within this structure	the Mall of America	2014-04-09
FOREIGN LEADERS	In 1964 he was convicted of sabotage & conspiracy & served over 20 years in prison	Nelson Mandela	2014-04-10
HISTORIC IRONY	Theodor Herzl was inspired to begin the work that's the foundation for modern Zionism by an opera by this composer	Richard Wagner	2014-04-11
SIGNS & SYMBOLS	Meant to evoke a person with arms outstretched & pointed downward, it was designed in 1958 by Gerald Holtom	the peace symbol (or sign)	2014-04-14
THE ANCIENT WONDERS	Far apart alphabetically, they're the 2 deities in the names of the 7 ancient wonders	Artemis & Zeus	2014-04-15
TV MUSIC	"\""Crystal Blue Persuasion"" by Tommy James & the Shondells was heard in this drama's ""Gliding Over All"" episode"	Breaking Bad	2014-04-16
19th CENTURY PRESIDENTS	Good looks weren't enough as he became the only full-term president rejected in a bid for his party's 2nd term nomination	Franklin Pierce	2014-04-17
CHARACTERS IN NOVELS	"One of this man's ""most priceless memories"" is of ""a delicately nurtured Southern belle with her Irish up\"""	Rhett Butler	2014-04-18
HISTORIC GROUPS	With fewer than 10 member cities in attendance, this association based in Lubeck held its last assembly in 1669	the Hanseatic League	2014-04-21
BASEBALL	Vine Line is the official magazine of this Major League Baseball team	the Chicago Cubs	2014-04-22
HOLIDAYS IN OTHER COUNTRIES	William Tubman's nearly 3 decades of leadership is celebrated on his birthday, November 29, in this country	Liberia	2014-04-23
DIARIES & JOURNALS	"This archaeologist's diary for November 26, 1922 mentions 2 ""ebony-black effigies of a king, gold sandalled\"""	Howard Carter	2014-04-24
COMPUTERS	"The creator of this computer command called it ""a 5-minute job""; in 2013 Bill Gates called it ""a mistake\"""	Ctrl-Alt-Delete	2014-04-25
NOBEL PRIZE-WINNING AUTHORS	Due to injuries suffered in 2 plane crashes in Africa, he was unable to accept his 1954 Nobel Prize in person	Ernest Hemingway	2014-04-28
U.S. HISTORY	Messrs. Gusenberg, Gusenberg, May, Weinshank, Clark, Heyer & Schwimmer famously died on this day in 1929	February 14 (or Valentine's Day)	2014-04-29
ALBUM COVERS	This band used a picture of the Hindenburg disaster on the cover of its eponymous debut album	Led Zeppelin	2014-04-30
U.S. STATES	Other than Q, these 2 letters appear the least in the names of states, each appearing only once	J & Z	2014-05-01
BUSINESS HISTORY	"In 1945 this product added a plaid design to its ""snail"" dispenser"	Scotch Tape	2014-05-02
WORD ORIGINS	"This word for a timid person comes from the last name of a character in a 1920s newspaper comic called ""The Timid Soul\"""	milquetoast	2014-05-05
U.S. STATES	Between 2006 & 2013 it went from 39th to 6th in per capita income & its unemployment rate dropped to the nation's lowest	North Dakota	2014-05-06
SUPREME COURT DECISIONS	On December 20, 1956 the Court's ruling on Browder v. Gayle went into effect, bringing an end to this 381-day event	the Montgomery bus boycott	2014-05-07
BRITISH THINKERS	"His works include ""The Economic Consequences of the Peace"" in 1919 & ""The End of Laissez-Faire"" from 1926"	John Maynard Keynes	2014-05-08
FAMOUS BOOKS	It was published March 26, 1830; a very popular work with the same name premiered March 24, 2011	The Book of Mormon	2014-05-09
19th CENTURY POEMS	"Written about the U.S. occupation of the Philippines, a Kipling poem said, ""Take up"" this now-controversial phrase"	the White Man's burden	2014-05-12
MONARCHS	2 teen Hashemite cousins officially took the thrones of their respective countries May 2, 1953: Faisal of Iraq & him	King Hussein of Jordan (the Hashemite Kingdom)	2014-05-13
NAMES ON THE MAP	Visited by Jacques Cartier in 1534, it was later renamed for Queen Victoria's father, the Duke of Kent	Prince Edward Island	2014-05-14
THE ACADEMY AWARDS	1 of the 2 movies in the last 30 years, one a drama & one a comedy, to win Oscars for Best Actor & Best Actress	The Silence of the Lambs or As Good as It Gets	2014-05-15
SECRETARIES OF STATE	Serving 160 years apart, these 2 Secretaries of State are the only ones who never married	Condoleezza Rice & James Buchanan	2014-05-16
BOARD GAMES	In the classic version of Monopoly, the only 2 improvable properties without Avenue or Place in their names	Boardwalk & Marvin Gardens	2014-05-19
BRITISH NOVELS	Stephen King borrowed the name of his fictional town Castle Rock from this 1950s novel that greatly influenced him	Lord of the Flies	2014-05-20
ORGANIZATIONS	"The full name of this scholarly group founded after a lecture in 1660 includes ""of London for Improving Natural Knowledge\"""	the Royal Society	2014-05-21
TECHNOLOGY	When Apple sued for iPad patent infringement, Samsung cited this 1968 movie as the originator of the design	2001: A Space Odyssey	2014-05-22
THE 1960s	In his last speech, he mentioned local newsmakers of the day, including his friend Cesar Chavez & Don Drysdale	Robert F. Kennedy	2014-05-23
TITLE MOVIE ROLES	In 1984, in the first of the films featuring this character, he only has 21 lines, for a total of 133 words	the Terminator	2014-05-26
20th CENTURY PLAY TITLES	This play's title comes from the name of a Greek king said to have carved a statue of a woman & fallen in love with it	Pygmalion	2014-05-27
OPERA	In a bit of foreshadowing, the title character's dad has committed suicide before the action of this 1904 opera	Madame Butterfly	2014-05-28
FRUIT	It's the only commercially important edible fruit of the Bromeliad family	pineapple	2014-05-29
19th CENTURY POLITICS	A Senate seat from this Southern state sat vacant for 4 years; when it was filled, its ex-occupant had become U.S. president	Tennessee	2014-05-30
OSCAR-WINNING WRITERS	Winning for 1999, this New England writer is the last person to win an Oscar for adapting his own novel	John Irving	2014-06-02
COLLEGES & UNIVERSITIES	Team nicknames of the 8 Ivy League schools include 4 animals, 3 colors & this Christian denomination	the Quakers (of the University of Pennsylvania)	2014-06-03
THE BEATLES	Of The Beatles' 20 U.S. No. 1 hits, this song has the shortest title	"\""Help!\"""	2014-06-04
19th CENTURY U.S. HISTORY	"A dignitary at the dedication of this said it was ""keeping watch and ward before the open gates of America\"""	The Statue of Liberty	2014-06-05
20th CENTURY AMERICANS	In 1911 Glenn Curtiss received this document Number 1	a pilot's license	2014-06-06
THE MEDITERRANEAN	It's the only U.N. member country in the Mediterranean where English is an official national language	Malta	2014-06-09
SCIENTISTS	As a humorous tribute, an astronomical term equivalent to at least 4 billion has been named for him	Carl Sagan	2014-06-10
CAPITAL CITY WORDPLAY	Ending in the same 2 letters, these 2 are capitals of a nation that covers a continent & of a nation reaching onto 2 continents	Canberra & Ankara	2014-06-11
CURRENT TELEVISION	"George Romero declined to direct a few episodes of this series, calling it ""basically... just a soap opera\"""	The Walking Dead	2014-06-12
FOREIGN AFFAIRS	William Sullivan retired from the Foreign Service in 1979; he was the last U.S. Ambassador to this country	Iran	2014-06-13
WORD ORIGINS	"This noun meaning a secret plan comes from the Latin for ""to breathe together\"""	conspiracy	2014-06-16
19th CENTURY NOVEL CHARACTERS	"His ""spinal column was curved""... the ""head was between the shoulder-blades and... one leg was shorter than the other\"""	Quasimodo (the Hunchback of Notre Dame)	2014-06-17
MUSIC IN AMERICA	Established by Congress in 1798, it's the oldest continuously active U.S. professional music ensemble	the Marine Corps Band	2014-06-18
BUSINESS & INDUSTRY	Founded in 1908, this big company was removed from the S&P 500 in 2009 after filing for bankruptcy but returned in 2013	General Motors	2014-06-19
DOGS & GEOGRAPHY	In 2001 the names of these 2 breeds came together in the new official name of a Canadian province	Newfoundland & Labrador	2014-06-20
BROADWAY	In 2013 this musical based on a movie became the first show to gross $1 billion on Broadway	The Lion King	2014-06-23
2004	"Watching the Super Bowl halftime show, the head of this government agency kept saying, ""My day is going to"" be lousy ""tomorrow\"""	the FCC	2014-06-24
WORLD LEADERS	Since 1953 5 consecutive siblings have been this country's head of state	Saudi Arabia	2014-06-25
SCIENCE & INDUSTRY	"In 1891 this European said, ""Perhaps my factories will put an end to war sooner than your congresses\"""	Alfred Nobel	2014-06-26
BRITISH AUTHORS	"The Pharmaceutical Journal praised her 1920 first novel, saying it dealt ""with poisons in a knowledgeable way\"""	Agatha Christie	2014-06-27
1970s FILMS	"In 2013 Mario Cuomo said he finally saw this film, which he had boycotted for personal reasons, & called it ""maybe... a masterpiece\"""	The Godfather	2014-06-30
THE DECLARATION OF INDEPENDENCE	"The first official use of this 4-word term is at The Declaration's beginning, immediately after ""The thirteen\"""	"\""United States of America\"""	2014-07-01
U.S. GEOGRAPHY	2 places called Point Udall, referred to as the USA's easternmost & westernmost points, are in these 2 territories	Guam & the Virgin Islands	2014-07-02
FAMOUS OBJECTS	In 1950 the England-Scotland border was closed for the first time in 400 years to try to recover this stolen item	the Stone of Scone	2014-07-03
FICTIONAL LOCALES	Featured in a 1933 novel, it may have been inspired by the 1920s Tibetan travel writings of explorer Joseph Rock	Shangri-La	2014-07-04
GOVERNMENT	"\""Features"" at the website of this agency include ""Protection"", ""Investigations"" & ""Know Your Money\"""	the Secret Service	2014-07-07
SCIENCE WORDS	"Appropriately, this word from Latin for ""unfold"" isn't in the first edition of ""Origin of Species"", but does appear in later editions"	evolution	2014-07-08
CONSTITUTIONAL MONARCHIES	The constitution of this country allows the monarch to abdicate, which has happened in 1948, 1980 & 2013	the Netherlands	2014-07-09
IN THE DICTIONARY	"This adjective can mean ""delicate"", ""heavenly"" or, in chemistry, ""related to C4H10O\"""	ethereal	2014-07-10
AMERICAN LITERATURE	Published in 1925, it still sells 500,000 copies a year & was on the bestseller lists in 2013	The Great Gatsby	2014-07-11
LITERARY TITLE WORDS	It was Giovanni Boccaccio who added this adjective to another Italian author's work	divine	2014-07-14
U.S. GOVERNMENT PEOPLE	"A committee chaired by the official in this job released the influential 1964 report ""Smoking and Health\"""	the Surgeon General	2014-07-15
20 YEARS AGO IN ENTERTAINMENT	In 1994 this comedian starred in a No. 1 sitcom, the No. 1 Christmas movie & had a No. 1 non-fiction bestseller	Tim Allen	2014-07-16
16th CENTURY SCIENTISTS	"It is often said of this man that he ""stopped the Sun and moved the Earth\"""	Copernicus	2014-07-17
FAMOUS HOMES	"Purchased in 1957 & called ""the second most famous home in America"", it was designated a National Historic Landmark in 2006"	Graceland	2014-07-18
RELIGIOUS HISTORY	This term comes from a 1529 event in which a group of Lutherans formally disagreed with a decision by a Catholic council	Protestantism	2014-07-21
WORLD LANDMARKS	Built for a World's Fair in 1889, its visitors that year included the Prince of Wales & Buffalo Bill; it still gets 7 million a year	the Eiffel Tower	2014-07-22
LITERARY HEROINES	Fittingly, this character is named for a plant also known as arrowhead that belongs to the genus Sagittaria	Katniss Everdeen	2014-07-23
NOVEL WORDS	This word for a person without certain abilities has made it from the realm of fantasy to the OED	a muggle	2014-07-24
WEBSITES	A slang term for Harvard's freshman register gave this website its name	Facebook	2014-07-25
HISTORIC TRANSPORTS	Its principal mast is at Arlington, its foremast is at the Naval Academy & a monument to it, restored in 2013, is located in Havana	the U.S.S. Maine	2014-07-28
DAYS OF THE WEEK	"In Spanish & French, the word for Friday comes from Latin for ""day of"" this goddess"	Venus	2014-07-29
GREAT MOMENTS IN 19th CENTURY SCIENCE	Matthias Schleiden found plants are made up of these; at dinner he told Theodor Schwann who said, hey, so are animals	cells	2014-07-30
BESTSELLING BOOKS	This novel is dedicated to Esther Earl, who died of thyroid cancer at 16 & never got to read it	The Fault in Our Stars	2014-07-31
AWARDS & HONORS	There were no winners for this award from 1939 through 1943; in 1944, it was won by the International Committee of the Red Cross	the Nobel Peace Prize	2014-08-01
AUTHORS	"In 1937 his sister said he had ""hats of every description"" which he would use as a ""foundation of his next book\"""	Dr. Seuss	2014-09-15
EUROPEAN CAPITALS	At 200 miles, this capital of just over a million people is the continental capital closest to London	Brussels	2014-09-16
MUSICAL THEATER	"In ""Godspell"" this character leads the company in singing, ""Prepare Ye The Way Of The Lord\"""	John the Baptist (or Judas Iscariot)	2014-09-17
FOREIGN WORDS	The Holy Roman Empire from 800 to 1806 was the first; the German empire from 1871 to 1918 was the second	reich	2014-09-18
MOVIES ABOUT MOVIES	The title character of this 2013 film was played by David Tomlinson, who was actually seen only in clips from a 1964 film	Saving Mr. Banks	2014-09-19
THE BILLBOARD ALBUM CHARTS	11 movie soundtrack albums by this performer hit the Billboard Top 10, with 4 hitting No. 1	Elvis Presley	2014-09-22
ENGLISH MONARCHS	She was born near London; her mother, near Madrid	"\""Bloody"" Mary Tudor"	2014-09-23
ALLITERATION	This metaphor used by Shakespeare & Coleridge to denote an ending is based on a legend that never really happens in nature	swan song	2014-09-24
20th CENTURY LEADERS	In May 1980 over 200 leaders from more than 120 countries attended his funeral in Belgrade	Tito	2014-09-25
FAMOUS AMERICANS	In 1936 at age 79, he published an article in Esquire magazine in which he described how to pick a jury	Clarence Darrow	2014-09-26
AGATHA CHRISTIE	"In the 400-page book ""Agatha Christie A to Z"", entries beginning with this 6-letter word start on page 224 & end on 238"	"\""Murder\"""	2014-09-29
WORLD LEADERS	He came to power 34 days before FDR & left it 19 days after him	Adolf Hitler	2014-09-30
U.S. CITY FIRSTS	Among its firsts are underwater auto tunnel to a foreign country & corp. to net more than $1 billion in a single year	Detroit	2014-10-01
2014 NEWSMAKERS	Both making news in June, these 2 Davids with similar last names are LeBron's new coach & Eric Cantor's conqueror	David Blatt & David Brat	2014-10-02
TV IN THE 2000s	A key scene of this sitcom's 2014 finale after 9 seasons was actually filmed in Season 2	How I Met Your Mother	2014-10-03
MUSIC	"John Williams said his music for this event, not a film, tried to capture ""the spirit of cooperation, of heroic achievement\"""	the (1984 Summer) Olympics (in Los Angeles)	2014-10-06
FAUXBITUARIES	"He received a real obituary in the Albuquerque Journal in 2013 noting his ""long battle with lung cancer\"""	Walter White	2014-10-07
NOVEL TITLE CHARACTERS	"\""His madness being stronger than any other faculty"", he ""resolved to have himself dubbed a knight by the first person he met\"""	Don Quixote	2014-10-08
HISTORICAL FIGURES	A 2012 poll by Britain's National Army Museum voted this man, born in 1732, as the nation's greatest military enemy	George Washington	2014-10-09
COUNTRIES OF THE WORLD	It became a colony of the U.S. in 1898, a commonwealth in 1935 & an independent country in 1946	the Philippines	2014-10-10
SPORTS FIGURES	"He was featured on the September 22, 1947 cover of Time with the caption ""He and the boss took a chance\"""	Jackie Robinson	2014-10-13
BUSINESS	Today this company markets more than 100 times the number of products found in a slogan it used in 1896	H.J. Heinz	2014-10-14
WORDPLAY	Subtract a letter from the name of a keystroke found in computer commands & you get this violent reaction to social change	"backlash (from ""backslash"")"	2014-10-15
LITERATURE	This title 1864 adventure is embarked upon by a descent into Iceland's Mount Sneffels	Journey to the Center of the Earth	2014-10-16
COATS OF ARMS	This country's coat of arms features a palm tree & a 19th century American sailing ship	Liberia	2014-10-17
LITERATURE	"A chapter heading in this 19th century work calls the title character ""one-eyed, lame"", another calls him ""deaf\"""	The Hunchback of Notre Dame	2014-10-20
THE 18th CENTURY	Losses in this event included 12 chests of souchong	the Boston Tea Party	2014-10-21
EPONYMOUS GEOGRAPHY	Named around 1616, it's the world's fifth-largest island & the largest named after a person	Baffin Island	2014-10-22
FRENCH FOOD HISTORY	A popular product was born when Jean Naigeon of this city substituted the juice of unripe grapes for vinegar	Dijon	2014-10-23
TONY NOMINATIONS	Although she has appeared in only 2 Broadway musicals, she got Tony nominations for both, for 1962 & 1964	Barbra Streisand	2014-10-24
ROCK & ROLL	A restaurant chain took its name from a British band's fourth chart-topper, this 1967 song	"\""Ruby Tuesday\"""	2014-10-27
THE BIBLE	The first conversation recounted in the Bible is in Genesis 3, between these 2; it leads to trouble	Eve & the Serpent (or Satan)	2014-10-28
AMERICAN-BORN AUTHORS	"In 1915 his reasons for naturalization included ""having lived and worked in England for the best part of forty years\"""	Henry James	2014-10-29
MONARCHS OF ENGLAND	The fifth king & the eighth king of this name share the distinction of both having been proclaimed king but never crowned	Edward	2014-10-30
INVENTIONS	This machine was invented in 1929; the government began buying them to help prevent any more in a series of Army Air Corps fatalities	the flight simulator	2014-10-31
SCIENTISTS	"Accepting his 1922 Nobel Prize in Stockholm, he spoke of ""the intellectual solidarity"" in the Scandinavian countries"	Niels Bohr	2014-11-03
THE SUPREME COURT	After Washington & FDR, he is, perhaps fittingly, the president who appointed the most Supreme Court justices	(William Howard) Taft	2014-11-04
ARTISTS	Illustrations by this man show why his name has become the standard for children's book artistry	(Randolph) Caldecott	2014-11-05
HIGHWAYS & BYWAYS	The Hiram Bingham Highway, opened in 1948, is the last leg linking Machu Picchu with this World Heritage site, a city about 50 miles off	Cuzco	2014-11-06
SPORTS LOGOS	This NFL team's logo is the only one that is a plant	the New Orleans Saints (the Fleur de Lis)	2014-11-07
STATE HOLIDAYS	This is the only state that honors a former U.S. Secretary of State with his own legal holiday	Alaska	2014-11-10
THE OXFORD ENGLISH DICTIONARY	As of 2013 this 3-letter verb common in sports, theater & politics has the largest entry in the online OED	run	2014-11-11
THE U.S. CONSTITUTION	"The 3 Latin phrases found in the Constitution are ""pro tempore"", ""ex post facto"" & this legal 2-word phrase"	habeas corpus	2014-11-12
TUNNELS	These 2 islands that begin with the same letter are linked by the 33.5-mile Seikan rail tunnel, the world's longest in operation	Honshu and Hokkaido	2014-11-13
OPERA CHARACTERS	In an 1893 opera that was its composer's greatest success, Peter & Gertrud are the parents of these 2 characters	Hansel & Gretel	2014-11-14
THE OTHER SIDE OF THE GLOBE	This capital city, which at 12,330 miles is farthest from Madrid, is named for a soldier who spent time in Madrid	Wellington	2014-11-17
FRENCH LITERATURE	"Its first chapter recalls ""the little scallop-shell of pastry, so richly sensual under its severe, religious folds\"""	Remembrance of Things Past	2014-11-18
21st CENTURY BOOKS	"Set in the Great Depression, this 2006 novel has an epigraph from ""Horton Hatches the Egg\"""	Water for Elephants	2014-11-19
20th CENTURY PRESIDENTIAL ELECTIONS	In this year, there were no pres's or VPs running, but 3 of the 4 men on the 2 major party ballots would become president	1920	2014-11-20
SHAKESPEAREAN GEOGRAPHY	Of the 5 cities mentioned in Shakespeare play titles, it's the only one not found in Europe	Tyre	2014-11-21
BRITISH MUSICMAKERS OF THE '90s	"One critic called them ""a social phenomenon"", ""the most widely recognised group... since John, Paul, George & Ringo\"""	the Spice Girls	2014-11-24
PEOPLE IN THE ARTS	"He once said, ""It is through fantasy that children achieve catharsis. It is the best means they have for taming wild things\"""	Maurice Sendak	2014-11-25
20th CENTURY NOVELS	"In 1940 House Representative from Oklahoma Lyle Boren denounced it as a ""dirty, lying, filthy manuscript\"""	The Grapes of Wrath	2014-11-26
BODIES OF WATER	First encountered in 1648 by a man born in Russia, it was eventually named after a man born in Denmark	the Bering Strait	2014-11-27
ARLINGTON NATIONAL CEMETERY	The remains for Arlington's first monument to unknown soldiers mostly came from this battlefield 30 miles away	Bull Run	2014-11-28
TV CHARACTERS	"This 8'2"" character who made his debut in 1969 is still going strong"	Big Bird	2014-12-01
KINGS & QUEENS	Technically this monarch is the head of state of 16 countries including Jamaica & New Zealand	Elizabeth II	2014-12-02
U.S. GEOGRAPHY	This city of 650,000 people is the most populous U.S. city not found in a U.S. state	Washington, D.C.	2014-12-03
TOY BRANDS	"This product's website has stated, ""Helping imagination take shape for over 50 years!"" & ""Fun to (use), not to eat\"""	Play-Doh	2014-12-04
HEALTH & MEDICINE	"In 1985 the Surgeon General called this ""the best rescue technique in any choking situation\"""	the Heimlich maneuver	2014-12-05
MOVIE TITLE REFERENCES	"For this 1971 film the reference is to the 1948 film ""Red River\"""	The Last Picture Show	2014-12-08
LITERARY INSPIRATIONS	The peat bogs of Dartmoor, England inspired the fictional home of the beastly title character in this 1902 tale	The Hound of the Baskervilles	2014-12-09
U.S. PRESIDENTS	The first man in the 20th century to hold all 4 federally elected offices: congressman, senator, vice president & president	Lyndon Baines Johnson (LBJ)	2014-12-10
THE BIBLE	The first birthday celebration mentioned in the Bible takes place in Genesis 40 & is in honor of this ruler	the Pharaoh in Egypt	2014-12-11
POETRY	The narrator mistakes the presence of this title creature for the wind & later calls it prophet	the raven	2014-12-15
SOUTH AMERICA	In 2004 the dollar replaced the guilder as the monetary unit of this country	Suriname	2014-12-16
THE AFI's 100 GREATEST FILMS	"One of the top 20, this 1946 film was based on a short story published as ""The Man Who Was Never Born\"""	It's a Wonderful Life	2014-12-17
20th CENTURY SCULPTURE	"Its sculptor asked for prayer that this work would ""endure until the wind and the rain alone shall wear them away\"""	Mount Rushmore	2014-12-18
INTERNATIONAL MOTORING	One of the 3 European Union countries besides the United Kingdom that have not switched to driving on the right	(1 of) Ireland, Malta & Cyprus	2014-12-19
AMERICAN AUTHORS	"Celebrated in April, National Robotics Week honors this man who coined the word ""robotics"" in a 1941 story"	Isaac Asimov	2014-12-22
WORD ORIGINS	In the mid-1960s, a decade after it first appeared in a holiday tale, this word came to be used for any mean killjoy	grinch	2014-12-23
OSCAR-WINNING ACTRESSES	With a total of 5 wins, they're the only 2 Best Actress winners who were known professionally by the same last name	Katharine & Audrey Hepburn	2014-12-24
INTERNATIONAL SYMBOLS	Inspired by the 5th letter of the Greek alphabet, its symbol includes 2 horizontal lines to represent stability	the euro (&euro;)	2014-12-25
AFRICAN FLAGS	The flag of Burundi has stars representing the Twa & these 2 other ethnic groups much in the news in the 1990s	the Hutu & the Tutsi	2014-12-26
BOOK DEDICATIONS	"The 1853 dedication of ""12 Years a Slave"" was to this woman author ""whose name... is identified with the Great Reform\"""	Harriet Beecher Stowe	2014-12-29
ROYALTY	He was the last English monarch to die in battle	Richard III	2014-12-30
ISLANDS	Present name of an island settled by Europeans in the 1490s, today the most populous island in the Americas	Hispaniola	2014-12-31
TELEVISION	"Set to the song ""You've Got Time"", a montage of real women who were incarcerated is in the opening credits of this series"	Orange Is the New Black	2015-01-01
20th CENTURY AMERICA	In 1923 Fanny Brice made news by having this procedure, later rejected by a woman portraying her	a nose job	2015-01-02
OLYMPIC HOST CITIES	This European city hosted the northernmost Summer Games, also the first where Soviet athletes participated	Helsinki, Finland	2015-01-05
ASIA	"Meaning ""waterless place"" this 500,000-square-mile area lies in what's called a ""rain shadow"" of the Himalayas"	the Gobi Desert	2015-01-06
HISTORICAL NICKNAMES	In the Red Star in 1976, Capt. Yuri Gavrilov coined this nickname for a U.K. politician who had made a speech against the USSR	"the ""Iron Lady\"""	2015-01-07
ARTISTS	"He said a 2009 exhibit was the 1st time taxpayers' money was used ""to hang my pictures up rather than scrape them off\"""	Banksy	2015-01-08
FAMOUS AMERICANS	In 1982, 72 years after his death, he became the first person inducted into the Hall of Famous Missourians	Mark Twain	2015-01-09
20th CENTURY BRITS	Dr. Hugh Cairns, who tried but couldn't save the life of this man in May 1935, became a pioneer in the use of motorcycle helmets	T.E. Lawrence (Lawrence of Arabia)	2015-01-12
BROADWAY MUSICALS	"\""Iowa Stubborn"" was the second song heard in this show when it opened on Broadway in 1957"	The Music Man	2015-01-13
U.S. STATES	The difference of this Southern state's highest & lowest points is only 345 feet, the smallest disparity among the states	Florida	2015-01-14
BUSINESS HISTORY	Found near Amsterdam in 2010, a 1606 stock certificate from this long-defunct company has been valued at $750,000	the Dutch East India Company	2015-01-15
EPITAPHS	"His headstone in Rome reads in part: ""This grave contains all that was mortal, of a young English poet\"""	John Keats	2015-01-16
BRITISH BUSINESS NAMES	"Still around, these 2 rival companies began with a 1744 sale of ""scarce & valuable books"" & a 1766 sale of chamber pots"	Christie's & Sotheby's	2015-01-19
LAST WORDS	"In 1170 he said, ""I am ready to die for my Lord, that in my blood the Church may obtain liberty and peace\"""	St. Thomas Becket	2015-01-20
FICTION	"A line in this short story is ""Slowly, awkwardly trying out his feelers, which he now first learned to appreciate...\"""	"\""The Metamorphosis\"""	2015-01-21
CANDY	"An early TV ad for this candy bar featured a fleur-de-lis flag & a song with the lyrics ""fun for all\"""	3 Musketeers	2015-01-22
RIVERS	This North American river first sailed by Europeans in 1534 is named for a man who was martyred in Rome in the 3rd century	the St. Lawrence River	2015-01-23
U.S. CITIES	In 1846 it had 200 people; 14 years later, thanks to a discovery, it had over 50,000, making it No. 15 in the country	San Francisco	2015-01-26
BEST ACTOR OSCARS	1 of 2 performers to win 2 Best Actor Oscars for films that won Best Picture	Marlon Brando or Dustin Hoffman	2015-01-27
MEDIEVAL LITERATURE	Characters in this epic 4,002-line poem include Count Ogier, Duke Thierry & Archbishop Turpin of Reims	The Song of Roland (La Chanson de Roland)	2015-01-28
RANKS & TITLES	In 1858 rule of India went from the East India Company to the British Crown & Lord Canning became the first holder of this title	Viceroy of India	2015-01-29
INVENTORS	"In 1702 Thomas Savery wrote of one of his designs, ""Such an engine will do the work or labour of ten or twelve"" these"	horses	2015-01-30
LIBRARIES	The street address of his presidential library is 40 Presidential Drive	Ronald Reagan	2015-02-02
MATH TERMS	This word for a process that leads to the solution to a problem comes from the Arabic name of a 9th century mathematician	algorithm	2015-02-03
STATE FLAGS	It is mentioned in the motto on Minnesota's flag & is depicted on Alaska's	the North Star	2015-02-04
LISTS	Efforts to save historic treasures threatened by the creation of the Aswan High Dam led UNESCO to create this list	the World Heritage (Sites) list	2015-02-05
SHAKESPEARE	After England, more Shakespeare plays are set in this present-day country than in any other	Italy	2015-02-06
19th CENTURY WRITERS	After his death, he was given full military honors in Greece before his body was returned home for burial at his baronial seat	Lord Byron	2015-02-09
BROADWAY MUSICALS	Winner of a Tony for Best Musical, it culminates with an induction into the Rock & Roll Hall of Fame	Jersey Boys	2015-02-10
REFERENCE BOOK MAKERS	"In 1863 he used the epigraph ""I have gathered... other men's flowers, & nothing but the thread that binds them is mine own\"""	John Bartlett	2015-02-11
